dialect,order,type,pattern,replace,note,confidence
秋田,29,protect,みっともない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
秋田,30,protect,とんでもない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
秋田,31,protect,申し訳ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
秋田,32,protect,違いない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
秋田,33,protect,数えきれない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
秋田,10,copula,だろう,だべ,,medium
秋田,11,copula,でしょう,だべ,,medium
秋田,12,copula,だ$,だ,断定「-ダ」,high
秋田,20,negation,([かがさたなばまら])ない,\1ねぁ,否定は「-ネァ」,high
秋田,21,negation,しない,しねぁ,,high
秋田,22,negation,来ない,こねぁ,,medium
秋田,30,aspect,ている,でら,,medium
秋田,40,particle,を,ば,,medium
秋田,41,particle,へ行く,さ行く,,high
秋田,42,particle,に行く,さ行く,,high
秋田,43,particle,たい$,てぁ,願望「-テァ」,high
秋田,50,lexical,とても,しったげ,津軽の「たんげ」と同系,medium
秋田,51,lexical,疲れた,こわい,東北広域,high
秋田,52,lexical,捨てる,なげる,,high
秋田,53,lexical,だめ,まいね,,medium
関西,1,protect,しかない,,〜しかない は動詞否定ではない,high
関西,2,protect,じゃない,,断定否定は copula 規則で処理済み,high
関西,3,protect,もったいない,,語彙。ない を否定と誤認しない,high
関西,4,protect,仕方ない,,同上,high
関西,5,protect,間違いない,,同上,high
関西,6,protect,少ない,,形容詞,high
関西,7,protect,危ない,,形容詞,high
関西,20,protect,はかない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
関西,21,protect,儚い,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
関西,22,protect,情けない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
関西,23,protect,素っ気ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
関西,24,protect,そっけない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
関西,25,protect,あどけない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
関西,26,protect,せつない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
関西,27,protect,切ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
関西,28,protect,だらしない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
関西,29,protect,みっともない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
関西,30,protect,とんでもない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
関西,31,protect,申し訳ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
関西,32,protect,違いない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
関西,33,protect,数えきれない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
関西,10,copula,ではありません$,やあらへん,丁寧否定,high
関西,11,copula,ではない,やない,断定否定,high
関西,12,copula,じゃない,やん,,high
関西,13,copula,でしょう,やろ,,high
関西,14,copula,だろう,やろ,,high
関西,15,copula,です$,や,丁寧体は「や」に落ちる。かしこまった場面では残す,medium
関西,16,copula,だ$,や,断定の助動詞 だ→や,high
関西,17,copula,だから,やから,,high
関西,18,copula,だけど,やけど,,high
関西,19,copula,なのだ,なんや,,high
関西,30,negation,しない,せえへん,サ変,high
関西,31,negation,来ない,けえへん,カ変,high
関西,32,negation,できない,でけへん,,high
関西,33,negation,見ない,見いひん,上一段は「いひん」,medium
関西,34,negation,([かがさたなばまら])ない,\1へん,五段動詞の未然形+へん,high
関西,35,negation,([えけげせてねべめれ])ない,\1へん,下一段,high
関西,36,negation,なければならない,なあかん,,high
関西,37,negation,なくてはいけない,なあかん,,high
関西,40,aspect,ている,てる,,high
関西,41,aspect,ておく,とく,,high
関西,42,aspect,てしまう,てまう,,high
関西,43,aspect,てしまった,てもうた,,high
関西,44,aspect,ておいて,といて,,high
関西,50,particle,けれど,けど,,high
関西,51,particle,ですね,やね,,high
関西,52,particle,ますね,まんね,ベタ寄り。使いすぎ注意,low
関西,60,lexical,とても,めっちゃ,,high
関西,61,lexical,すごく,めっちゃ,,high
関西,62,lexical,本当に,ほんまに,,high
関西,63,lexical,本当,ほんま,,high
関西,64,lexical,違う,ちゃう,,high
関西,65,lexical,駄目,あかん,,high
関西,66,lexical,だめ,あかん,,high
関西,67,lexical,いけない,あかん,,high
関西,68,lexical,面白い,おもろい,,high
関西,69,lexical,疲れた,しんどい,,medium
関西,70,lexical,良い,ええ,,high
関西,71,lexical,いい,ええ,,high
関西,72,lexical,ありがとう,おおきに,商用・年配寄り。若年層は「ありがとう」も普通,medium
関西,73,lexical,いくら,なんぼ,,high
関西,74,lexical,どうして,なんで,,high
関西,75,lexical,なぜ,なんで,,high
関西,76,lexical,捨てる,ほかす,,high
関西,77,lexical,馬鹿,あほ,,high
関西,78,lexical,ばか,あほ,,high
鹿児島,1,protect,しかない,,〜しかない は動詞否定ではない,high
鹿児島,2,protect,じゃない,,断定否定は copula 規則で処理済み,high
鹿児島,3,protect,もったいない,,語彙。ない を否定と誤認しない,high
鹿児島,4,protect,仕方ない,,同上,high
鹿児島,5,protect,間違いない,,同上,high
鹿児島,6,protect,少ない,,形容詞,high
鹿児島,7,protect,危ない,,形容詞,high
鹿児島,20,protect,はかない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
鹿児島,21,protect,儚い,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
鹿児島,22,protect,情けない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
鹿児島,23,protect,素っ気ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
鹿児島,24,protect,そっけない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
鹿児島,25,protect,あどけない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
鹿児島,26,protect,せつない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
鹿児島,27,protect,切ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
鹿児島,28,protect,だらしない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
鹿児島,29,protect,みっともない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
鹿児島,30,protect,とんでもない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
鹿児島,31,protect,申し訳ない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
鹿児島,32,protect,違いない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
鹿児島,33,protect,数えきれない,,形容詞・慣用句。「ない」を動詞否定と誤認しない,high
鹿児島,10,copula,ではない,じゃなか,,high
鹿児島,11,copula,だろう,じゃろ,,high
鹿児島,12,copula,でしょう,じゃろ,,high
鹿児島,13,copula,だ$,じゃ,断定「ジャ」（ジャルより）,high
鹿児島,14,copula,です$,ごわす,丁寧な断定。伝統形,medium
鹿児島,20,negation,([かがさたなばまら])ない,\1ん,未然形＋ン,high
鹿児島,21,negation,しない,せん,,high
鹿児島,22,negation,来ない,こん,,high
鹿児島,30,aspect,ている,ちょる,結果相。進行相は「ごる／おる」だが区別は失われつつある,high
鹿児島,31,aspect,ておく,ちょく,,medium
鹿児島,40,particle,から,で,原因・理由。※起点用法の「から」に誤爆する既知の問題,medium
鹿児島,41,particle,ので,で,,high
鹿児島,42,particle,けれど,どん,逆接「ドン」。南部は「バッテン」,high
鹿児島,43,particle,ます$,もす,丁寧,medium
鹿児島,44,particle,よ$,ど,終助詞,high
鹿児島,50,lexical,とても,わっぜ,,high
鹿児島,51,lexical,すごく,わっぜ,,high
鹿児島,52,lexical,良い,よか,形容詞語尾 い→か,high
鹿児島,53,lexical,いい,よか,,high
鹿児島,54,lexical,ありがとう,あいがとさげもした,,medium
鹿児島,80,lexical,疲れた,だれた,,medium
鹿児島,81,lexical,捨てる,なげる,,medium
